Event Name,Room Alloted,Time,,"day- 1 : 204, 303, 304, ",,
CTF,,"(March 6,7,8) ",,"Day 2 : 302, 303",,
,,,,"Day 3 :  303, 401",,
Day 1,,,,,,
Chenda Melam,from sahyadri to admin,8 to 9,,,,
Inaugration of Apoorv,Tapovan,9 to 10am,,,,
,,,,,,
ArtExpo,BB201,11 to 1 Pm,,,,
E sports,AC 306,11 to 1 pm to 2 to 4 Pm,,GameVita 5.0 – 72 Hour Online Game Jam,Online event(GDU),3 days
Mun,BD 404,9 to 12 pm   2 to 5 pm,,,,
METAMORPHOSIS,BC301,10 to 1pm,,Solo Sizzle(Mahesh and Adnan),Ground ,
Pentagon,"BB 401, 402",9 to 5 Pm,,Aarohana,,
Apoorv's Got Latent,BC 302,1 to 4 Pm,,Ultimate Dance Showdown,,
,,,,Game Art Design Contest,Online,
,,,,,,
,,,,,,
,,,,Beyond the harmony,Tapovan,2nd day
,,,,,,
,,,,,,
Strings and keys(instrumentals),Ground,4/4.30 to 6,,Vogue fusion,Ground,
Drama,Ground,50min,,,,
Aarohana,Ground,,,,,
Reverb,Ground,,,Social Media,,
,,,,,,
Day 2,,,,,,
,,,,Combinied Hackathon,"March (14,15) 12 pm -12pm",
Tech talk (E cell) ,Tapovan,2 to 3Pm,,,,
ArtExpo,BB201,Full day,,,,
,,,,,,
Masked Legends,BB 202,11 to 1 PM,,,,
Quiz Quiz Hota Hai,Tapovan,10 to 4,,Pros & Cons,online,
Pentagon,"BB 401, 402",9 to 1 Pm,,,,
E-sports,AC 306,2 to 4 pm,,,,
Video games Trivia Contest,AC 306,9 to 12 Pm,,,,
Combinied Hackathon,"301,204,304,404",12Pm to full day,,,,
,,,,,,
Eka,Ground,45 mins,,,,
Vogue fusion,Ground,,,Aarohana,Ground,
DJ,Ground,,,,,
 Non compitition,Ground,,,Vogue Fashion,Ground,
Day 3,,,,,,
,,,,,,
Slam Dunk!,BD 402,10 to 12 pm,,,,
The Culling Games,BC 302,1  to 4 pm,,,,
E sports,AC 306,2 to 4pm,,,,
Combinied Hackathon,"301,204,304,404",day start to 12Pm,,,,
,,,,,,
Rapid Dumb Charades(drama club event),BC 301,2 to 4 pm,,,,
,,,,,,
,,,,,,
,,,,,,
ArtExpo,BB201,Full day,,,,
,,,,,,
,,,,,,
Taal Tarang(Dance Battle),ground,4.30 to 5.30 pm,,,,
Deepak Mourya,ground,5:30 to 6:30 pm,,,,
Vogue Fusion,ground,7 : 00 to 8:30 pm,,,,
Concert,ground,8:30 to 10:15 pm,,,,
